Дата,Цена акции SBER,Цена нефти BRENT
2021-12-30,293.49,5978.27
2021-12-29,293.51,5955.72
2021-12-28,295.0,5933.92
2021-12-27,295.68,5908.36
2021-12-24,293.89,5723.44
2021-12-23,292.8,5776.81
2021-12-22,294.0,5659.55
2021-12-21,291.7,5561.08
2021-12-20,288.4,5376.16
2021-12-17,294.9,5526.5
2021-12-16,295.89,5639.25
2021-12-15,286.65,5553.56
2021-12-14,284.9,5540.03
2021-12-13,280.64,5591.9
2021-12-10,297.44,5649.03
2021-12-09,300.4,5594.15
2021-12-08,296.95,5699.39
2021-12-07,309.79,5670.82
2021-12-06,307.5,5493.42
2021-12-03,320.66,5252.88
2021-12-02,326.8,5237.09
2021-12-01,324.4,5176.96
2021-11-30,315.0,5204.02
2021-11-29,316.57,5520.48
2021-11-26,304.42,5466.36
2021-11-25,317.29,6180.48
2021-11-24,321.22,6182.73
2021-11-23,326.84,6187.24
2021-11-22,309.15,5991.05
2021-11-19,327.56,5930.16
2021-11-18,336.93,6106.81
2021-11-17,339.89,6034.65
2021-11-16,337.91,6196.26
2021-11-15,344.39,6167.7
2021-11-12,347.59,6176.72
2021-11-11,356.24,6229.34
2021-11-10,348.65,6212.05
2021-11-09,357.44,6372.91
2021-11-08,358.39,6271.43
2021-11-05,360.21,6219.57
2021-11-03,370.13,6163.19
2021-11-02,370.7,6368.4
2021-11-01,370.96,6367.65
2021-10-29,356.14,6293.23
2021-10-28,365.36,6338.33
2021-10-27,371.36,6357.88
2021-10-26,372.16,6494.69
2021-10-25,369.99,6463.87
2021-10-22,364.37,6429.29
2021-10-21,364.6,6360.13
2021-10-20,370.16,6451.09
2021-10-19,373.18,6395.46
2021-10-18,364.6,6339.09
2021-10-15,371.82,6378.93
2021-10-14,376.09,6314.28
2021-10-13,378.8,6252.64
2021-10-12,377.79,6270.68
2021-10-11,387.6,6287.97
2021-10-08,373.01,6193.26
2021-10-07,368.93,6160.18
2021-10-06,364.28,6094.78
2021-10-05,363.2,6206.04
2021-10-04,345.85,6108.31
2021-10-01,338.48,5959.48
2021-09-30,340.99,5886.56
2021-09-29,328.43,5911.37
2021-09-28,329.3,5945.2
2021-09-27,331.68,5978.27
2021-09-24,325.44,5870.03
2021-09-23,327.02,5806.88
2021-09-22,327.8,5727.2
2021-09-21,323.25,5589.64
2021-09-20,326.92,5556.57
2021-09-17,329.56,5663.31
2021-09-16,326.99,5688.11
2021-09-15,333.51,5672.33
2021-09-14,326.48,5532.51
2021-09-13,327.41,5525.75
2021-09-10,326.25,5481.4
2021-09-09,326.01,5370.9
2021-09-08,331.7,5457.34
2021-09-07,325.96,5388.94
2021-09-06,329.37,5428.78
2021-09-03,329.71,5458.09
2021-09-02,329.0,5489.67
2021-09-01,334.57,5381.42
2021-08-31,327.94,5384.43
2021-08-30,328.28,5518.23
2021-08-27,327.41,5464.86
2021-08-26,322.54,5342.33
2021-08-25,324.57,5431.03
2021-08-24,324.83,5340.83
2021-08-23,329.22,5167.94
2021-08-20,325.67,4899.58
2021-08-19,332.69,4995.05
2021-08-18,334.9,5128.85
2021-08-17,334.5,5188.99
2021-08-16,329.36,5225.07
2021-08-13,328.68,5306.25
2021-08-12,328.57,5360.37
